10000,9289
20000,4839
30000,14824
40000,13196
50000,15893
60000,13829
70000,25236
80000,37557
90000,36042
100000,44214
110000,46365
120000,53220
130000,62968
140000,63355
150000,65649
160000,105927
170000,80015
180000,68329
190000,71832
200000,79395
210000,78975
220000,118898
230000,111495
240000,98479
250000,104231
260000,179156
270000,130936
280000,196757
290000,148040
300000,178008
310000,138715
320000,130078
330000,86668
340000,129921
350000,138086
360000,186713
370000,201260
380000,117564
390000,258019
400000,285927
410000,260409
420000,326710
430000,261235
440000,217304
450000,277092
460000,219017
470000,292316
480000,271671
490000,204454
500000,254241
510000,360943
520000,242268
530000,284686
540000,314748
550000,302542
560000,315813
570000,231011
580000,219417
590000,238556
600000,267005
610000,418780
620000,327876
630000,290827
640000,205389
650000,398172
660000,623991
670000,211694
680000,251570
690000,370932
700000,413011
710000,252666
720000,359277
730000,447911
740000,421033
750000,353442
760000,421136
770000,426073
780000,389945
790000,300361
800000,471423
810000,468678
820000,404464
830000,530010
840000,399781
850000,533593
860000,349681
870000,582940
880000,501269
890000,346200
900000,478404
910000,352693
920000,534553
930000,822765
940000,324417
950000,534029
960000,538883
970000,576875
980000,481596
990000,582706
1000000,551989
