10,100,1000,10000,100000,1000000
7,43,447,1745,12424,140868
3,38,413,1667,12360,138367
3,36,416,1582,12327,136789
3,35,428,1486,12293,138226
2,35,411,1463,12045,137950
2,35,431,1398,12432,137011
2,35,418,1288,12308,137223
2,34,418,1235,12212,138286
2,34,423,1226,12130,138483
2,33,415,1212,11755,137655
2,34,424,1113,12142,137622
2,34,441,1087,12236,138714
2,34,413,1104,12331,138221
2,33,413,1088,12551,137991
2,34,420,1053,11860,137058
2,33,474,1050,12118,136883
2,35,412,1059,12086,136066
2,33,449,1055,12117,136830
2,33,491,1067,11747,137440
2,33,611,1203,12159,136791
2,33,578,1058,12856,137174
2,35,462,1076,12554,136064
2,34,412,1027,12155,137943
2,33,409,1073,11854,136841
2,34,410,1025,12139,137685
2,34,415,1027,12285,138008
2,32,417,1147,12176,136659
2,33,420,1151,11850,136784
2,33,504,1024,12886,137307
2,32,513,1098,12285,137918
2,34,551,1070,12252,136861
16,34,597,1024,12087,136987
2,59,578,1036,11834,137812
2,32,611,1083,12168,136675
2,33,671,1069,12116,137855
2,33,601,1009,12128,136639
2,33,630,1010,12318,138125
2,33,418,1125,12196,138072
2,34,522,1338,12191,136969
2,33,399,1047,12152,138011
2,33,407,1199,11775,137545
2,34,550,1149,11989,137631
2,34,276,1024,12247,136700
2,33,329,1069,12096,137675
2,33,288,1027,12940,137330
2,32,284,1023,11866,137400
2,33,297,1025,12205,136932
2,32,292,1030,12381,136989
2,33,299,1024,12335,137147
2,33,301,1022,11832,137191
2,33,285,1034,11972,138175
2,33,245,1034,12144,136966
2,33,211,1036,12767,137153
2,33,212,998,12181,137363
2,33,210,1035,11839,137191
2,32,209,1234,12112,136750
2,33,353,1051,12199,136672
2,34,356,999,12090,138641
2,33,206,1038,11749,138132
2,34,205,997,12300,137189
2,33,207,996,12614,137542
2,32,207,1032,12191,138172
2,32,206,998,11947,137929
2,33,205,997,11751,137400
2,33,203,997,12042,138306
2,33,218,1003,12068,138252
2,33,207,999,12484,137694
2,32,203,1002,12327,137742
2,33,237,997,12173,137799
2,33,221,1037,12254,138329
2,34,242,1166,12201,137339
2,34,210,1128,11695,137911
2,33,175,1293,12012,137408
2,33,184,1028,12156,138899
2,34,179,1251,12176,136671
2,33,165,1053,13009,137451
2,33,172,1237,11822,138741
2,32,181,1099,12128,137708
2,31,171,1202,12194,138460
2,33,162,1132,12154,137860
2,33,163,1163,11838,138251
2,34,161,1119,12204,137399
2,32,160,1068,12145,137754
2,33,163,1049,12584,136979
2,33,164,1224,12208,138115
2,33,164,1185,11778,138222
2,33,200,1098,12177,137859
2,34,164,1059,12099,138673
2,32,211,1060,12097,137335
2,33,164,1077,11792,137964
2,32,196,1028,12185,138171
2,34,174,1268,12830,137993
2,34,162,1190,12234,138198
2,33,165,1025,12310,137135
2,34,163,1030,11895,138809
2,34,175,1031,12268,136951
2,33,162,1049,12187,137254
2,33,163,1031,12061,137179
2,33,160,1181,11862,137847
2,33,140,1192,12656,137420
AVERAGE
2.22,33.66,320.3,1115.2,12179.42,137607.56
