1000,2
2000,3
3000,4
4000,5
5000,6
6000,8
7000,9
8000,11
9000,13
10000,15
11000,17
12000,19
13000,20
14000,22
15000,24
16000,24
17000,29
18000,29
19000,30
20000,33
21000,37
22000,40
23000,38
24000,42
25000,46
26000,51
27000,48
28000,49
29000,55
30000,55
31000,57
32000,75
33000,104
34000,90
35000,84
36000,69
37000,70
38000,72
39000,74
40000,81
41000,78
42000,89
43000,81
44000,83
45000,90
46000,87
47000,92
48000,94
49000,95
50000,101
51000,102
52000,109
53000,106
54000,111
55000,108
56000,113
57000,120
58000,121
59000,123
60000,122
61000,119
62000,135
63000,133
64000,132
65000,137
66000,142
67000,143
68000,143
69000,154
70000,156
71000,148
72000,159
73000,170
74000,166
75000,172
76000,168
77000,166
78000,177
79000,190
80000,189
81000,197
82000,233
83000,185
84000,203
85000,194
86000,207
87000,201
88000,470
89000,199
90000,227
91000,280
92000,263
93000,217
94000,245
95000,235
96000,238
97000,263
98000,247
99000,310
100000,258
