1000,4
2000,6
3000,7
4000,9
5000,11
6000,13
7000,16
8000,18
9000,21
10000,24
11000,26
12000,32
13000,33
14000,35
15000,37
16000,42
17000,42
18000,45
19000,48
20000,52
21000,54
22000,58
23000,59
24000,62
25000,64
26000,68
27000,74
28000,75
29000,77
30000,80
31000,83
32000,85
33000,92
34000,92
35000,96
36000,102
37000,117
38000,106
39000,112
40000,111
41000,111
42000,120
43000,124
44000,124
45000,131
46000,130
47000,136
48000,133
49000,141
50000,147
51000,148
52000,155
53000,150
54000,160
55000,162
56000,171
57000,165
58000,173
59000,178
60000,183
61000,191
62000,187
63000,190
64000,197
65000,209
66000,204
67000,209
68000,209
69000,211
70000,229
71000,224
72000,231
73000,232
74000,234
75000,245
76000,244
77000,243
78000,245
79000,263
80000,255
81000,264
82000,270
83000,266
84000,278
85000,276
86000,281
87000,296
88000,291
89000,305
90000,296
91000,307
92000,312
93000,315
94000,324
95000,319
96000,343
97000,331
98000,330
99000,346
100000,338
