10,100,1000,10000,100000,1000000
3,40,243,2190,20128,276800
2,41,244,1876,20710,270626
2,14,233,1757,18975,264163
2,14,222,1793,20013,257410
3,14,236,1784,20165,272536
3,14,228,1626,19884,271405
3,15,223,1664,19219,256691
2,16,277,1626,19960,247966
2,15,283,1655,18831,258401
2,15,291,1525,19928,256811
2,14,256,1588,20280,253016
2,14,306,1655,20336,250900
2,15,238,1552,20137,244209
2,14,230,1598,19690,240334
2,16,228,1598,18792,251344
2,14,227,1657,19039,245935
2,13,229,1664,19643,246034
2,14,227,1682,19405,242343
2,17,244,1699,20131,239195
2,16,223,1468,19563,247925
2,15,240,1745,19423,231201
2,15,227,1646,19651,237606
2,27,232,1507,20513,235757
2,15,251,1499,19612,246726
2,15,236,1504,19775,246943
2,15,252,1691,18589,251886
2,14,229,1587,20758,249848
3,14,262,1430,21314,241340
2,14,251,1660,20697,234754
2,14,252,1450,21985,237001
2,14,211,1440,20707,228647
2,16,215,1495,20476,235941
2,14,215,1487,23248,234237
2,14,218,1538,21019,252348
1,15,236,1481,21014,242397
2,14,221,1429,20428,237202
2,16,221,1630,21091,237287
2,15,219,1519,22537,231043
2,15,207,1560,21785,234521
2,14,223,1598,20530,251469
2,13,226,1506,20189,253978
2,15,230,1449,20337,242596
2,15,242,1525,20516,247115
2,17,224,1546,19112,239356
2,14,206,1440,19089,236471
2,15,206,1433,19467,245499
2,13,228,1527,19824,234267
2,15,213,1470,20943,254194
2,15,208,1548,20580,266206
2,14,208,1572,20412,269586
2,14,215,1433,21156,261122
2,14,212,1498,20575,248937
2,16,222,1623,20250,250942
1,14,201,1602,21569,241576
2,14,200,1964,21817,240471
2,14,211,1510,21216,236846
2,14,208,1538,22207,243701
2,15,214,1477,21123,231085
2,14,185,1600,22585,233505
2,14,201,1517,19743,235253
2,14,195,1486,20128,236925
2,14,195,1479,21868,240684
2,15,182,1531,20531,230988
2,16,187,1492,21034,239257
2,13,174,1631,21416,233670
2,15,173,1636,22101,239748
2,14,183,1589,21149,233948
1,15,194,1480,20540,234934
1,14,179,1591,23015,232603
1,15,170,1555,21138,230213
1,15,192,1514,20406,244833
2,15,188,1536,20718,241103
2,15,190,1503,20689,242179
1,15,153,1604,20348,231443
2,14,170,1523,20847,235468
1,13,173,1517,21088,235453
1,14,181,1559,20990,245064
1,16,194,1507,20894,229767
2,14,163,1525,21600,236755
2,15,173,1627,20793,235252
1,14,189,1457,20726,238084
2,15,159,1507,20434,238577
1,15,174,1566,21212,232519
1,15,154,1564,21322,241763
1,16,160,1594,23653,253886
1,13,155,1568,21100,239303
2,14,162,1688,19953,238688
2,15,151,1507,24018,231374
1,14,155,1494,20783,246125
2,15,181,1487,23507,232176
2,14,186,1533,21017,245146
2,14,138,1560,20835,233109
1,13,150,1510,24047,234324
1,14,178,1480,22241,228762
2,16,181,1663,21283,246439
1,14,168,1605,22294,234056
2,15,171,1680,21810,238241
1,15,156,1561,22354,259002
2,14,143,1466,22447,229636
1,15,141,1476,23219,237288
AVERAGE
1.84,15.2,206.27,1571.82,20822.39,243136.89
